id,reftime,station_id,city,location,ozono,no2,no
1384386,2025-03-01 00:00:00,4000022,MODENA,PARCO FERRARI,23,23,4
1384387,2025-03-01 01:00:00,4000022,MODENA,PARCO FERRARI,23,18,3
1384388,2025-03-01 02:00:00,4000022,MODENA,PARCO FERRARI,25,15,2
1384389,2025-03-01 03:00:00,4000022,MODENA,PARCO FERRARI,33,13,1
1384390,2025-03-01 04:00:00,4000022,MODENA,PARCO FERRARI,31,15,1
1384391,2025-03-01 05:00:00,4000022,MODENA,PARCO FERRARI,36,13,3
1384392,2025-03-01 06:00:00,4000022,MODENA,PARCO FERRARI,35,14,4
1384393,2025-03-01 07:00:00,4000022,MODENA,PARCO FERRARI,27,16,4
1384394,2025-03-01 08:00:00,4000022,MODENA,PARCO FERRARI,24,16,4
1384395,2025-03-01 09:00:00,4000022,MODENA,PARCO FERRARI,22,20,5
1384396,2025-03-01 10:00:00,4000022,MODENA,PARCO FERRARI,32,19,3
1384397,2025-03-01 11:00:00,4000022,MODENA,PARCO FERRARI,36,15,2
1384398,2025-03-01 12:00:00,4000022,MODENA,PARCO FERRARI,43,11,2
1384399,2025-03-01 13:00:00,4000022,MODENA,PARCO FERRARI,41,13,3
1384400,2025-03-01 14:00:00,4000022,MODENA,PARCO FERRARI,48,11,2
1384401,2025-03-01 15:00:00,4000022,MODENA,PARCO FERRARI,52,10,1
1384402,2025-03-01 16:00:00,4000022,MODENA,PARCO FERRARI,41,15,2
1384403,2025-03-01 17:00:00,4000022,MODENA,PARCO FERRARI,36,17,2
1384404,2025-03-01 18:00:00,4000022,MODENA,PARCO FERRARI,40,15,1
1384405,2025-03-01 19:00:00,4000022,MODENA,PARCO FERRARI,33,17,2
1384406,2025-03-01 20:00:00,4000022,MODENA,PARCO FERRARI,17,26,4
1384407,2025-03-01 21:00:00,4000022,MODENA,PARCO FERRARI,7,39,11
1384408,2025-03-01 22:00:00,4000022,MODENA,PARCO FERRARI,12,33,7
1384409,2025-03-01 23:00:00,4000022,MODENA,PARCO FERRARI,9,31,7
1384410,2025-03-02 00:00:00,4000022,MODENA,PARCO FERRARI,7,27,6
1384411,2025-03-02 01:00:00,4000022,MODENA,PARCO FERRARI,6,31,8
1384412,2025-03-02 02:00:00,4000022,MODENA,PARCO FERRARI,7,27,6
1384413,2025-03-02 03:00:00,4000022,MODENA,PARCO FERRARI,8,26,6
1384414,2025-03-02 04:00:00,4000022,MODENA,PARCO FERRARI,9,20,6
1384415,2025-03-02 05:00:00,4000022,MODENA,PARCO FERRARI,7,24,6
1384416,2025-03-02 06:00:00,4000022,MODENA,PARCO FERRARI,11,23,7
1384417,2025-03-02 07:00:00,4000022,MODENA,PARCO FERRARI,11,19,6
1384418,2025-03-02 08:00:00,4000022,MODENA,PARCO FERRARI,8,19,10
1384419,2025-03-02 09:00:00,4000022,MODENA,PARCO FERRARI,16,25,16
1384421,2025-03-02 10:00:00,4000022,MODENA,PARCO FERRARI,45,14,4
1384422,2025-03-02 11:00:00,4000022,MODENA,PARCO FERRARI,54,9,2
1384424,2025-03-02 12:00:00,4000022,MODENA,PARCO FERRARI,60,8,1
1384425,2025-03-02 13:00:00,4000022,MODENA,PARCO FERRARI,68,6,1
1384426,2025-03-02 14:00:00,4000022,MODENA,PARCO FERRARI,75,5,0
1384427,2025-03-02 15:00:00,4000022,MODENA,PARCO FERRARI,83,3,0
1384428,2025-03-02 16:00:00,4000022,MODENA,PARCO FERRARI,85,3,0
1384429,2025-03-02 17:00:00,4000022,MODENA,PARCO FERRARI,83,4,0
1384430,2025-03-02 18:00:00,4000022,MODENA,PARCO FERRARI,71,7,0
1384431,2025-03-02 19:00:00,4000022,MODENA,PARCO FERRARI,36,32,3
1384432,2025-03-02 20:00:00,4000022,MODENA,PARCO FERRARI,34,29,3
1384433,2025-03-02 21:00:00,4000022,MODENA,PARCO FERRARI,11,49,10
1384434,2025-03-02 22:00:00,4000022,MODENA,PARCO FERRARI,5,51,17
1384435,2025-03-02 23:00:00,4000022,MODENA,PARCO FERRARI,15,34,11
1384436,2025-03-03 00:00:00,4000022,MODENA,PARCO FERRARI,24,24,8
1384437,2025-03-03 01:00:00,4000022,MODENA,PARCO FERRARI,19,24,8
1384438,2025-03-03 02:00:00,4000022,MODENA,PARCO FERRARI,15,22,8
1384439,2025-03-03 03:00:00,4000022,MODENA,PARCO FERRARI,16,21,8
1384440,2025-03-03 04:00:00,4000022,MODENA,PARCO FERRARI,18,18,8
1384441,2025-03-03 05:00:00,4000022,MODENA,PARCO FERRARI,17,18,7
1384442,2025-03-03 06:00:00,4000022,MODENA,PARCO FERRARI,9,24,9
1384443,2025-03-03 07:00:00,4000022,MODENA,PARCO FERRARI,6,29,12
1384444,2025-03-03 08:00:00,4000022,MODENA,PARCO FERRARI,7,32,22
1384445,2025-03-03 09:00:00,4000022,MODENA,PARCO FERRARI,15,41,27
1384446,2025-03-03 10:00:00,4000022,MODENA,PARCO FERRARI,22,44,28
1384447,2025-03-03 11:00:00,4000022,MODENA,PARCO FERRARI,44,31,11
1384448,2025-03-03 12:00:00,4000022,MODENA,PARCO FERRARI,72,12,2
1384449,2025-03-03 13:00:00,4000022,MODENA,PARCO FERRARI,76,10,1
1384450,2025-03-03 14:00:00,4000022,MODENA,PARCO FERRARI,79,12,3
1384451,2025-03-03 15:00:00,4000022,MODENA,PARCO FERRARI,87,8,1
1384452,2025-03-03 16:00:00,4000022,MODENA,PARCO FERRARI,88,7,1
1384453,2025-03-03 17:00:00,4000022,MODENA,PARCO FERRARI,89,7,0
1384454,2025-03-03 18:00:00,4000022,MODENA,PARCO FERRARI,82,11,0
1384455,2025-03-03 19:00:00,4000022,MODENA,PARCO FERRARI,58,25,0
1384456,2025-03-03 20:00:00,4000022,MODENA,PARCO FERRARI,53,29,1
1384457,2025-03-03 21:00:00,4000022,MODENA,PARCO FERRARI,32,36,4
1384458,2025-03-03 22:00:00,4000022,MODENA,PARCO FERRARI,13,58,12
1384459,2025-03-03 23:00:00,4000022,MODENA,PARCO FERRARI,4,60,31
1384460,2025-03-04 00:00:00,4000022,MODENA,PARCO FERRARI,5,54,21
1384461,2025-03-04 01:00:00,4000022,MODENA,PARCO FERRARI,5,47,22
1384462,2025-03-04 02:00:00,4000022,MODENA,PARCO FERRARI,8,36,13
1384463,2025-03-04 03:00:00,4000022,MODENA,PARCO FERRARI,6,33,13
1384464,2025-03-04 04:00:00,4000022,MODENA,PARCO FERRARI,11,34,11
1384465,2025-03-04 05:00:00,4000022,MODENA,PARCO FERRARI,8,32,11
1384466,2025-03-04 06:00:00,4000022,MODENA,PARCO FERRARI,5,28,12
1384467,2025-03-04 07:00:00,4000022,MODENA,PARCO FERRARI,3,34,23
1384468,2025-03-04 08:00:00,4000022,MODENA,PARCO FERRARI,8,35,25
1384469,2025-03-04 09:00:00,4000022,MODENA,PARCO FERRARI,17,42,24
