"_id","station_id","variable_id","reftime","value","v_flag"
33352,4000022,"PM10","03/07/2024 00:00",15,"M"
33353,4000022,"PM10","03/08/2024 00:00",17,"M"
33354,4000022,"PM10","03/09/2024 00:00",23,"M"
33356,4000022,"PM10","03/10/2024 00:00",16,"M"
33358,4000022,"PM10","03/11/2024 00:00",7,"M"
33360,4000022,"PM10","03/12/2024 00:00",17,"M"
33362,4000022,"PM10","03/13/2024 00:00",15,"M"
33364,4000022,"PM10","03/14/2024 00:00",33,"M"
33366,4000022,"PM10","03/15/2024 00:00",47,"M"
33368,4000022,"PM10","03/16/2024 00:00",33,"M"
33370,4000022,"PM10","03/17/2024 00:00",21,"M"
33371,4000022,"PM10","03/18/2024 00:00",31,"M"
33373,4000022,"PM10","03/19/2024 00:00",32,"M"
33375,4000022,"PM10","03/20/2024 00:00",41,"M"
33377,4000022,"PM10","03/21/2024 00:00",42,"M"
33379,4000022,"PM10","03/22/2024 00:00",35,"M"
33381,4000022,"PM10","03/23/2024 00:00",31,"M"
33383,4000022,"PM10","03/24/2024 00:00",12,"M"
33385,4000022,"PM10","03/25/2024 00:00",6,"M"
33387,4000022,"PM10","03/26/2024 00:00",12,"M"
33389,4000022,"PM10","03/27/2024 00:00",14,"M"
33391,4000022,"PM10","03/28/2024 00:00",12,"M"
33393,4000022,"PM10","03/29/2024 00:00",16,"M"
33395,4000022,"PM10","03/30/2024 00:00",30,"M"
33397,4000022,"PM10","03/31/2024 00:00",90,"M"
33400,4000022,"PM10","04/01/2024 00:00",68,"M"
33402,4000022,"PM10","04/02/2024 00:00",29,"M"
33404,4000022,"PM10","04/03/2024 00:00",14,"M"
33406,4000022,"PM10","04/04/2024 00:00",16,"M"
33408,4000022,"PM10","04/05/2024 00:00",19,"M"
33410,4000022,"PM10","04/06/2024 00:00",21,"M"
33418,4000022,"PM10","04/07/2024 00:00",20,"M"
33420,4000022,"PM10","04/08/2024 00:00",17,"M"
33421,4000022,"PM10","04/09/2024 00:00",24,"M"
33422,4000022,"PM10","04/11/2024 00:00",19,"M"
